batch_id,input_symbol,input_company_name,nse_symbol,nse_issuer_name,symbol_match_status,isin,listing_status,nse_macro,nse_sector,nse_industry,nse_basic_industry,index,index_list,pd_sector_index,source,confidence,notes
nifty_500_shariah,ELECON,Elecon Engineering Company Ltd.,ELECON,Elecon Engineering Company Limited,exact_symbol_match,INE205B01031,Listed,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,Nifty 500,NIFTY 500; NIFTY INDIA INFRASTRUCTURE & LOGISTICS; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 SHARIAH,NIFTY INFRASTRUCTURE,NSE quote API secInfo,0.9,
nifty_500_shariah,ELGIEQUIP,Elgi Equipments Ltd.,ELGIEQUIP,Elgi Equipments Limited,exact_symbol_match,INE285A01027,Listed,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,Nifty 500,NIFTY 500; NIFTY INDIA INFRASTRUCTURE & LOGISTICS; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 QUALITY 50; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20; NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20; NIFTY500 SHARIAH,NIFTY INFRASTRUCTURE,NSE quote API secInfo,0.9,
nifty_500_shariah,EMAMILTD,Emami Ltd.,EMAMILTD,Emami Limited,exact_symbol_match,INE548C01032,Listed,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,Nifty 500,NIFTY 500; NIFTY FMCG; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY SMALLCAP250 QUALITY 50; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 MULTIFACTOR MQVLV 50; NIFTY500 QUALITY 50; NIFTY500 SHARIAH,NIFTY FMCG,NSE quote API secInfo,0.9,
nifty_500_shariah,EMCURE,Emcure Pharmaceuticals Ltd.,EMCURE,Emcure Pharmaceuticals Limited,exact_symbol_match,INE168P01015,Listed,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,Nifty 500,NIFTY 500; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 HEALTHCARE; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 SHARIAH,-,NSE quote API secInfo,0.9,
ind_nifty500,EMMVEE,Emmvee Photovoltaic Power Ltd.,EMMVEE,Emmvee Photovoltaic Power Limited,exact_symbol_match,INE1C6T01020,Listed,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,Nifty 500,NIFTY 500; NIFTY IPO; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,-,NSE quote API secInfo,0.9,
nifty_500_shariah,ENDURANCE,Endurance Technologies Ltd.,ENDURANCE,Endurance Technologies Limited,exact_symbol_match,INE913H01037,Listed,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,Nifty 500,NIFTY 500; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 SHARIAH,NIFTY AUTO,NSE quote API secInfo,0.9,
ind_nifty500,ENGINERSIN,Engineers India Ltd.,ENGINERSIN,Engineers India Limited,exact_symbol_match,INE510A01028,Listed,Industrials,Construction,Construction,Civil Construction,Nifty 500,NIFTY 500; NIFTY CONSTRUCTION; NIFTY INDIA INFRASTRUCTURE & LOGISTICS; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY SMALLCAP250 QUALITY 50; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,NIFTY INFRASTRUCTURE,NSE quote API secInfo,0.9,
nifty_500_shariah,ENRIN,Siemens Energy India Ltd.,ENRIN,Siemens Energy India Limited,exact_symbol_match,INE1NPP01017,Listed,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,Nifty Next 50,NIFTY NEXT 50; NIFTY 100; NIFTY 200; NIFTY 500; NIFTY ENERGY; NIFTY INDIA INFRASTRUCTURE & LOGISTICS; NIFTY INDIA MANUFACTURING; NIFTY LARGEMIDCAP 250; NIFTY MNC; NIFTY TOTAL MARKET; NIFTY100 EQUAL WEIGHT; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25; NIFTY500 SHARIAH,-,NSE quote API secInfo,0.9,
ind_nifty500,ERIS,Eris Lifesciences Ltd.,ERIS,Eris Lifesciences Limited,exact_symbol_match,INE406M01024,Listed,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,Nifty 500,NIFTY 500; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY SMALLCAP 250; NIFTY SMALLCAP 500; NIFTY SMALLCAP250 MOMENTUM QUALITY 100; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 HEALTHCARE; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,NIFTY PHARMA,NSE quote API secInfo,0.9,
ind_nifty500,ESCORTS,Escorts Kubota Ltd.,ESCORTS,Escorts Kubota Limited,exact_symbol_match,INE042A01014,Listed,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors,Nifty 500,NIFTY 500; NIFTY CAPITAL GOODS; NIFTY INDIA MANUFACTURING; NIFTY LARGEMIDCAP 250; NIFTY MIDCAP 150; NIFTY MIDSMALLCAP 400; NIFTY MIDSMALLCAP400 50:50; NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100; NIFTY MNC; NIFTY RURAL; NIFTY TOTAL MARKET; NIFTY500 EQUAL WEIGHT; NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED; NIFTY500 MULTICAP 50:25:25,NIFTY 500,NSE quote API secInfo,0.9,
